ID,MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap
1,1,0,0,0,1,0,0,1,1.3
2,1,0,0,0.5,0.5,0,0,1,1.17
3,1,0,0,0.25,0.75,0,0,1,1.17
4,1,0,0,1,0,0.167,0,0.833,1.72
5,0.1615,0.7885,0.05,1,0,0.4,0,0.6,1.71
6,0,0.6,0.4,1,0,0.3,0,0.7,1.75
7,0.17,0.83,0,1,0,0.4,0,0.6,1.72
8,0,0.8,0.2,1,0,0.3,0,0.7,1.75
9,0.2,0.65,0.15,1,0,0.2,0,0.8,1.68
10,0.1445,0.7055,0.15,1,0,0.2,0,0.8,1.64
11,0,0,1,1,0,0,0,1,1.73
12,0,0,1,1,0,0.333,0,0.667,1.8
13,0,0.75,0.25,1,0,0.2,0,0.8,1.68
14,0.2,0.65,0.15,1,0,0.2,0,0.8,1.67
15,0,0.83,0.17,1,0,0.4,0,0.6,1.75
16,0,0.85,0.15,1,0,0.27,0,0.73,1.72
17,1,0,0,1,0,0.2,0,0.8,1.72
18,0,0.83,0.17,1,0,0.4,0,0.6,1.74
19,0,0.17,0.83,1,0,0.25,0,0.75,1.65
20,0,0.15,0.85,1,0,0.27,0,0.73,1.72
21,0,0.83,0.17,1,0,0.4,0,0.6,1.72
22,1,0,0,1,0,0.067,0,0.933,1.78
23,0,0.17,0.83,1,0,0.267,0,0.733,1.72
24,0.81,0,0.19,1,0,0,0,1,1.59
25,0,0.81,0.19,1,0,0.22,0,0.78,1.63
26,0.37,0.48,0.15,1,0,0.33,0,0.67,1.69
27,0.83,0.05,0.12,1,0,0.32,0,0.68,1.69
28,0.25,0.75,0,1,0,0.24,0,0.76,1.65
29,0.18,0.74,0.08,1,0,0.12,0,0.88,1.65
30,0.225,0.675,0.1,1,0,0.22,0,0.78,1.67
31,0.23,0.69,0.08,1,0,0.22,0,0.78,1.67
32,0,0.83,0.17,1,0,0.17,0,0.83,1.63
33,0.1615,0.7885,0.05,1,0,0.18,0,0.82,1.63
34,0.9,0,0.1,1,0,0.1,0,0.9,1.6
35,0.03,0.7566,0.213,1,0,0.146,0.03,0.8245,1.67
36,0.15,0.8,0.05,1,0,0.25,0,0.75,1.68
37,0,1,0,1,0,0,0,1,1.517
38,0,0.6,0.4,0.6,0.4,0,0,1,1.24
39,0,0,1,1,0,0,0,1,1.8
40,0,0,1,1,0,0.33,0,0.67,1.91
41,0,0,1,1,0,1,0,0,2.3
42,1,0,0,1,0,1,0,0,2.22
43,0,0,1,0.75,0.25,0.67,0,0.33,1.78
44,0,0,1,1,0,0.67,0,0.33,2.04
45,0,0,1,0.5,0.5,0.67,0,0.33,1.72
46,0,0,1,0.25,0.75,0.67,0,0.33,1.64
47,0,0.85,0.15,1,0,0.29,0,0.71,1.72
48,0.15,0.79,0.06,1,0,0.29,0,0.71,1.78
49,0,0.83,0.17,1,0,0.27,0,0.73,1.72
50,0.05,0.83,0.12,1,0,0.4,0,0.6,1.74
51,0.15,0.8,0.05,1,0,0.25,0,0.75,1.65
52,0,0.8,0.2,1,0,0.25,0,0.75,1.67
53,1,0,0,0.26,0.74,0,0,1,1.28
54,1,0,0,0.4,0.6,0.133,0,0.867,1.25
55,0.3,0.7,0,0.7,0.3,0,0,1,1.26
56,0,0.7,0.3,0.7,0.3,0,0,1,1.3
57,0,1,0,0.75,0.25,0,0,1,1.36
58,0.5,0.5,0,0.5,0.5,0,0,1,1.25
59,0.4,0.6,0,0.4,0.6,0,0,1,1.25
60,0.4,0.6,0,0.4,0.6,0.06,0,0.94,1.27
61,0.15,0.85,0,0.6,0.4,0.15,0,0.85,1.28
62,0,0,1,1,0,0.4,0,0.6,1.93
63,1,0,0,0.38,0.62,0,0,1,1.28
64,1,0,0,0.7,0.3,0,0,1,1.39
65,1,0,0,0.2,0.8,0,0,1,1.24
66,1,0,0,0.4,0.6,0.133,0,0.867,1.26
67,0,0.75,0.25,0.5,0.5,0,0,1,1.25
68,0,1,0,0.85,0.15,0,0,1,1.51
69,0.4,0.6,0,0.4,0.6,0.1,0,0.9,1.4
70,0,1,0,0.7,0.3,0,0,1,1.34
71,0,0,1,0.4,0.6,0.2,0,0.8,1.35
72,0,0,1,0.4,0.6,0,0,1,1.3
73,0,0,1,0.4,0.6,0.1,0,0.9,1.33
74,0,0,1,0.4,0.6,0.333,0,0.667,1.42
75,0,0,1,0.6,0.4,0,0,1,1.38
76,1,0,0,1,0,0,1,0,2.97
77,1,0,0,1,0,1,0,0,2.24
78,1,0,0,0,1,0.333,0,0.667,1.56
79,1,0,0,0,1,0.667,0,0.333,1.75
80,1,0,0,0,1,1,0,0,2.15
81,0.2,0.7,0.1,0.5,0.5,0,0,1,1.25
82,1,0,0,0.95,0.05,0,0,1,1.5
83,1,0,0,0.9,0.1,0,0,1,1.46
84,0,0,1,1,0,0.25,0,0.75,1.87
85,0,0,1,0,1,0,0,1,1.3
86,0,0,1,0,1,1,0,0,1.75
87,0,1,0,0,1,0,0,1,1.4
88,0.25,0.75,0,0,1,0,0,1,1.33
89,0,0,1,0,1,0.333,0,0.667,1.37
90,0.5,0.5,0,0.5,0.5,0,0,1,1.24
91,1,0,0,0.75,0.25,0,0,1,1.38
92,1,0,0,0.5,0.5,0.2,0,0.8,1.35
93,0,0,1,0.5,0.5,0.33,0,0.67,1.44
94,0.15,0.85,0,1,0,0.05,0,0.95,1.54
95,0.15,0.85,0,1,0,0.1,0,0.9,1.57
96,0.15,0.85,0,1,0,0.15,0,0.85,1.6
97,0.15,0.85,0,1,0,0.2,0,0.8,1.62
98,0.2,0.8,0,1,0,0.2,0,0.8,1.63
99,0.15,0.85,0,1,0,0.25,0,0.75,1.65
100,0.15,0.85,0,1,0,0.3,0,0.7,1.68
101,0.15,0.85,0,1,0,0.35,0,0.65,1.71
102,0.15,0.85,0,1,0,0.4,0,0.6,1.76
103,0.15,0.85,0,1,0,0.45,0,0.55,1.79
104,0.45,0.55,0,1,0,0.45,0,0.55,1.81
105,0.4,0.6,0,1,0,0.4,0,0.6,1.77
106,0.35,0.65,0,1,0,0.35,0,0.65,1.74
107,0.3,0.7,0,1,0,0.3,0,0.7,1.7
108,0.25,0.75,0,1,0,0.25,0,0.75,1.66
109,0,0,1,1,0,0.67,0,0.33,2.07
110,1,0,0,1,0,0.4,0,0.6,1.77
111,0,0,1,1,0,0.103,0,0.8967,1.75
112,0,0,1,0.7,0.3,0,0,1,1.34
113,0,0,1,0,1,0.667,0,0.333,1.65
114,0,0.8,0.2,1,0,0.7,0,0.3,1.99
115,0.3,0.7,0,0.5,0.5,0,0,1,1.22
116,0,0.6,0.4,1,0,0.35,0,0.65,1.78
117,0.45,0.5,0.05,0.5,0.5,0,0,1,1.21
118,0,0.8,0.2,1,0,0.4,0,0.6,1.75
119,1,0,0,1,0,0,0.033,0.967,1.54
120,1,0,0,1,0,0,0.133,0.867,1.59
121,0.03,0.7566,0.213,1,0,0.146,0,0.8245,1.67
122,0.75,0.25,0,0,1,0,0,1,1.28
123,0.5,0.5,0,0,1,0,0,1,1.3
124,0,1,0,0,1,0,0,1,1.36
125,1,0,0,0,1,0.6,0.0666,0.3334,1.87
126,1,0,0,0,1,0.5,0.166,0.334,1.97
127,0,1,0,0,1,1,0,0,2.4
128,0.7,0.3,0,1,0,0,0,1,1.57
129,1,0,0,1,0,0,0,1,1.53
130,1,0,0,1,0,0,0.25,0.75,1.581
131,1,0,0,1,0,0,0.333,0.667,1.61
132,1,0,0,1,0,0,0.167,0.833,1.543
133,1,0,0,1,0,0,0.083,0.917,1.516
134,1,0,0,1,0,0.5,0,0.5,1.95
135,0,0,1,1,0,1,0,0,2.32
136,0,0,1,1,0,0.8,0.2,0,2.59
137,0,0,1,1,0,0.55,0,0.45,2.16
138,0,0.83,0.17,1,0,0.5,0,0.5,1.86
139,0,0.83,0.17,1,0,0.6,0,0.4,1.93
140,0.5,0.5,0,0.75,0.25,0,0,1,1.33
141,0,0,1,1,0,1,0,0,2.34
142,0,0,1,1,0,0.5,0,0.5,1.91
143,0.1,0.9,0,1,0,0.1,0,0.9,1.6
144,0,0,1,1,0,0.67,0,0.33,2.05
145,0,0.75,0.25,0.5,0.5,0,0,1,1.2
146,0,0.75,0.25,0.5,0.5,0.5,0,0.5,1.8
147,0,0.75,0.25,0.5,0.5,0.17,0,0.83,1.6
148,0.85,0.15,0,1,0,0.15,0,0.85,1.75
149,1,0,0,1,0,1,0,0,2.18
150,1,0,0,0.74,0.26,1,0,0,1.88
151,1,0,0,0,1,1,0,0,2.02
152,0.6,0.4,0,1,0,0,0,1,1.53
153,0.13,0.87,0,1,0,0,0,1,1.52
154,0.25,0.75,0,1,0,0,0,1,1.545
155,0.9,0,0.1,1,0,0,0,1,1.54
156,0,0.9,0.1,1,0,0,0,1,1.55
157,0,0.8,0.2,1,0,0,0,1,1.56
158,0,0.8,0.2,1,0,0.053,0,0.947,1.58
159,0.15,0.85,0,1,0,0.15,0,0.85,1.57
160,0.333,0.667,0,1,0,0.333,0,0.667,1.64
161,0,0.8,0.2,1,0,0.053,0,0.947,1.49
162,0,0,1,1,0,0,1,0,2.78
163,0.9,0,0.1,1,0,0.4,0,0.6,1.82
164,1,0,0,1,0,0,0,1,1.55
165,0.9,0,0.1,0.75,0.25,0,0,1,1.39
166,0.9,0,0.1,0.5,0.5,0,0,1,1.28
167,0.9,0,0.1,0.25,0.75,0,0,1,1.26
168,1,0,0,0.9,0.1,0.667,0,0.333,1.79
169,1,0,0,0.75,0.25,0,0,1,1.24
170,1,0,0,0.85,0.15,0,0,1,1.32
171,0,0.85,0.15,1,0,0.7,0,0.3,2
172,0.81,0,0.19,1,0,0,0,1,1.58
173,0.15,0.8,0.05,1,0,0.15,0,0.85,1.63
174,1,0,0,0.25,0.75,0,0,1,1.27
175,1,0,0,0.75,0.25,1,0,0,2.03
176,1,0,0,0.75,0.25,0.9,0,0.1,1.99
177,1,0,0,0.75,0.25,0.8,0,0.2,1.9
178,1,0,0,0.75,0.25,0.7,0,0.3,1.8
179,1,0,0,0.75,0.25,0.6,0,0.4,1.73
180,1,0,0,0.75,0.25,0.5,0,0.5,1.65
181,1,0,0,0.75,0.25,0.4,0,0.6,1.59
182,1,0,0,0.75,0.25,0.3,0,0.7,1.53
183,1,0,0,0.75,0.25,0,0,1,1.35
184,1,0,0,0.9,0.1,0,0,1,1.24
185,0,0.8,0.2,0.5,0.5,0,0,1,1.28
186,1,0,0,0.25,0.75,0.4,0,0.6,1.34
187,1,0,0,1,0,0.29,0,0.71,1.71
188,0.17,0.83,0,1,0,0.16,0,0.84,1.63
189,0.38,0.5,0.12,1,0,0.32,0,0.68,1.69
190,0.14,0.77,0.09,1,0,0.86,0,0.14,1.59
191,0,0,1,0,1,0.5,0,0.5,1.77
192,0,0,1,0,1,0.333,0.667,0,2.1
193,0,0,1,0,1,0.667,0.333,0,1.9
194,0,0,1,0,1,0,1,0,2.8
195,1,0,0,1,0,0,0.0666,0.9334,1.6
196,0.03,0.97,0,1,0,0.015,0.015,0.97,1.561
197,0,1,0,1,0,0,0,1,1.53
198,0,0.97,0.03,1,0,0,0,1,1.53
199,0,0.93,0.07,1,0,0,0,1,1.54
200,0,0.83,0.17,1,0,0,0,1,1.56
201,1,0,0,0.68,0.32,1,0,0,1.8
202,1,0,0,0,1,0,0,1,1.24
203,0,1,0,0,1,0,0,1,1.24
203,0,0,1,0,1,0,0,1,1.25
